distance_x(dataset_id(377), 3).
distance_x(dataset_id(241), 21).
distance_x(dataset_id(80), 14).
distance_x(dataset_id(222), 20).
distance_x(dataset_id(432), 6).
distance_x(dataset_id(71), 14).
distance_x(dataset_id(70), 13).
distance_x(dataset_id(7), 1).
distance_x(dataset_id(119), 16).
distance_x(dataset_id(191), 2).
distance_x(dataset_id(38), 11).
distance_x(dataset_id(350), 27).
distance_x(dataset_id(361), 28).
distance_x(dataset_id(138), 17).
distance_x(dataset_id(303), 25).
distance_x(dataset_id(234), 21).
distance_x(dataset_id(65), 13).
distance_x(dataset_id(290), 24).
distance_x(dataset_id(35), 11).
distance_x(dataset_id(302), 25).
distance_x(dataset_id(42), 12).
distance_x(dataset_id(108), 15).
distance_x(dataset_id(407), 4).
distance_x(dataset_id(69), 13).
distance_x(dataset_id(0), 1).
distance_x(dataset_id(31), 11).
distance_x(dataset_id(472), 8).
distance_x(dataset_id(343), 27).
distance_x(dataset_id(272), 23).
distance_x(dataset_id(337), 26).
distance_x(dataset_id(132), 16).
distance_x(dataset_id(348), 27).
distance_x(dataset_id(269), 23).
distance_x(dataset_id(249), 22).
distance_x(dataset_id(215), 20).
distance_x(dataset_id(147), 18).
distance_x(dataset_id(379), 3).
distance_x(dataset_id(463), 8).
distance_x(dataset_id(175), 18).
distance_x(dataset_id(217), 20).
distance_x(dataset_id(19), 10).
distance_x(dataset_id(457), 8).
distance_x(dataset_id(29), 10).
distance_x(dataset_id(185), 19).
distance_x(dataset_id(419), 5).
distance_x(dataset_id(195), 2).
distance_x(dataset_id(358), 27).
distance_x(dataset_id(5), 1).
distance_x(dataset_id(396), 4).
distance_x(dataset_id(244), 21).
distance_x(dataset_id(82), 14).
distance_x(dataset_id(160), 18).
distance_x(dataset_id(275), 23).
distance_x(dataset_id(182), 19).
distance_x(dataset_id(456), 8).
distance_x(dataset_id(329), 26).
distance_x(dataset_id(179), 19).
distance_x(dataset_id(79), 14).
distance_x(dataset_id(488), 9).
distance_x(dataset_id(205), 20).
distance_x(dataset_id(221), 20).
distance_x(dataset_id(423), 5).
distance_x(dataset_id(124), 16).
distance_x(dataset_id(172), 18).
distance_x(dataset_id(68), 13).
distance_x(dataset_id(62), 13).
distance_x(dataset_id(487), 9).
distance_x(dataset_id(64), 13).
distance_x(dataset_id(370), 28).
distance_x(dataset_id(231), 21).
distance_x(dataset_id(274), 23).
distance_x(dataset_id(447), 7).
distance_x(dataset_id(56), 13).
distance_x(dataset_id(211), 20).
distance_x(dataset_id(86), 14).
distance_x(dataset_id(484), 9).
distance_x(dataset_id(259), 22).
distance_x(dataset_id(434), 6).
distance_x(dataset_id(424), 5).
distance_x(dataset_id(50), 12).
distance_x(dataset_id(158), 18).
distance_x(dataset_id(324), 26).
distance_x(dataset_id(202), 2).
distance_x(dataset_id(360), 27).
distance_x(dataset_id(169), 18).
distance_x(dataset_id(171), 18).
distance_x(dataset_id(1), 1).
distance_x(dataset_id(210), 20).
distance_x(dataset_id(254), 22).
distance_x(dataset_id(265), 23).
distance_x(dataset_id(23), 10).
distance_x(dataset_id(208), 20).
distance_x(dataset_id(449), 7).
distance_x(dataset_id(298), 24).
distance_x(dataset_id(90), 14).
distance_x(dataset_id(435), 6).
distance_x(dataset_id(266), 23).
distance_x(dataset_id(364), 28).
distance_x(dataset_id(375), 28).
distance_x(dataset_id(369), 28).
distance_x(dataset_id(219), 20).
distance_x(dataset_id(47), 12).
distance_x(dataset_id(406), 4).
distance_x(dataset_id(276), 23).
distance_x(dataset_id(216), 20).
distance_x(dataset_id(296), 24).
distance_x(dataset_id(381), 3).
distance_x(dataset_id(340), 26).
distance_x(dataset_id(92), 14).
distance_x(dataset_id(411), 4).
distance_x(dataset_id(332), 26).
distance_x(dataset_id(218), 20).
distance_x(dataset_id(95), 15).
distance_x(dataset_id(46), 12).
distance_x(dataset_id(48), 12).
distance_x(dataset_id(194), 2).
distance_x(dataset_id(128), 16).
distance_x(dataset_id(89), 14).
distance_x(dataset_id(143), 17).
distance_x(dataset_id(229), 21).
distance_x(dataset_id(129), 16).
distance_x(dataset_id(451), 7).
distance_x(dataset_id(125), 16).
distance_x(dataset_id(387), 3).
distance_x(dataset_id(98), 15).
distance_x(dataset_id(146), 18).
distance_x(dataset_id(227), 21).
distance_x(dataset_id(36), 11).
distance_x(dataset_id(178), 19).
distance_x(dataset_id(328), 26).
distance_x(dataset_id(408), 4).
distance_x(dataset_id(32), 11).
distance_x(dataset_id(96), 15).
distance_x(dataset_id(322), 26).
distance_x(dataset_id(335), 26).
distance_x(dataset_id(85), 14).
distance_x(dataset_id(438), 6).
distance_x(dataset_id(268), 23).
distance_x(dataset_id(145), 17).
distance_x(dataset_id(197), 2).
distance_x(dataset_id(103), 15).
distance_x(dataset_id(352), 27).
distance_x(dataset_id(393), 4).
distance_x(dataset_id(291), 24).
distance_x(dataset_id(67), 13).
distance_x(dataset_id(417), 5).
distance_x(dataset_id(99), 15).
distance_x(dataset_id(267), 23).
distance_x(dataset_id(353), 27).
distance_x(dataset_id(315), 25).
distance_x(dataset_id(289), 24).
distance_x(dataset_id(281), 23).
distance_x(dataset_id(273), 23).
distance_x(dataset_id(137), 17).
distance_x(dataset_id(323), 26).
distance_x(dataset_id(214), 20).
distance_x(dataset_id(212), 20).
distance_x(dataset_id(283), 24).
distance_x(dataset_id(26), 10).
distance_x(dataset_id(404), 4).
distance_x(dataset_id(305), 25).
distance_x(dataset_id(314), 25).
distance_x(dataset_id(385), 3).
distance_x(dataset_id(428), 6).
distance_x(dataset_id(25), 10).
distance_x(dataset_id(224), 20).
distance_x(dataset_id(301), 25).
distance_x(dataset_id(164), 18).
distance_x(dataset_id(141), 17).
distance_x(dataset_id(311), 25).
distance_x(dataset_id(386), 3).
distance_x(dataset_id(20), 10).
distance_x(dataset_id(443), 7).
distance_x(dataset_id(87), 14).
distance_x(dataset_id(53), 12).
distance_x(dataset_id(485), 9).
distance_x(dataset_id(496), 9).
distance_x(dataset_id(253), 22).
distance_x(dataset_id(465), 8).
distance_x(dataset_id(188), 19).
distance_x(dataset_id(176), 18).
distance_x(dataset_id(57), 13).
distance_x(dataset_id(257), 22).
distance_x(dataset_id(498), 9).
distance_x(dataset_id(299), 25).
distance_x(dataset_id(422), 5).
distance_x(dataset_id(11), 1).
distance_x(dataset_id(189), 2).
distance_x(dataset_id(464), 8).
distance_x(dataset_id(61), 13).
distance_x(dataset_id(477), 9).
distance_x(dataset_id(114), 16).
distance_x(dataset_id(94), 14).
distance_x(dataset_id(225), 20).
distance_x(dataset_id(126), 16).
distance_x(dataset_id(426), 6).
distance_x(dataset_id(450), 7).
distance_x(dataset_id(310), 25).
distance_x(dataset_id(344), 27).
distance_x(dataset_id(30), 11).
distance_x(dataset_id(127), 16).
distance_x(dataset_id(190), 2).
distance_x(dataset_id(367), 28).
distance_x(dataset_id(459), 8).
distance_x(dataset_id(148), 18).
distance_x(dataset_id(93), 14).
distance_x(dataset_id(10), 1).
distance_x(dataset_id(17), 10).
distance_x(dataset_id(439), 7).
distance_x(dataset_id(321), 26).
distance_x(dataset_id(28), 10).
distance_x(dataset_id(180), 19).
distance_x(dataset_id(49), 12).
distance_x(dataset_id(88), 14).
distance_x(dataset_id(9), 1).
distance_x(dataset_id(489), 9).
distance_x(dataset_id(192), 2).
distance_x(dataset_id(327), 26).
distance_x(dataset_id(233), 21).
distance_x(dataset_id(319), 25).
distance_x(dataset_id(469), 8).
distance_x(dataset_id(486), 9).
distance_x(dataset_id(346), 27).
distance_x(dataset_id(111), 16).
distance_x(dataset_id(3), 1).
distance_x(dataset_id(368), 28).
distance_x(dataset_id(140), 17).
distance_x(dataset_id(402), 4).
distance_x(dataset_id(43), 12).
distance_x(dataset_id(168), 18).
distance_x(dataset_id(104), 15).
distance_x(dataset_id(320), 25).
distance_x(dataset_id(149), 18).
distance_x(dataset_id(117), 16).
distance_x(dataset_id(163), 18).
distance_x(dataset_id(287), 24).
distance_x(dataset_id(495), 9).
distance_x(dataset_id(198), 2).
distance_x(dataset_id(462), 8).
distance_x(dataset_id(474), 8).
distance_x(dataset_id(16), 1).
distance_x(dataset_id(170), 18).
distance_x(dataset_id(461), 8).
distance_x(dataset_id(448), 7).
distance_x(dataset_id(371), 28).
distance_x(dataset_id(471), 8).
distance_x(dataset_id(288), 24).
distance_x(dataset_id(77), 14).
distance_x(dataset_id(442), 7).
distance_x(dataset_id(27), 10).
distance_x(dataset_id(373), 28).
distance_x(dataset_id(63), 13).
distance_x(dataset_id(398), 4).
distance_x(dataset_id(21), 10).
distance_x(dataset_id(397), 4).
distance_x(dataset_id(142), 17).
distance_x(dataset_id(453), 7).
distance_x(dataset_id(278), 23).
distance_x(dataset_id(51), 12).
distance_x(dataset_id(52), 12).
distance_x(dataset_id(293), 24).
distance_x(dataset_id(59), 13).
distance_x(dataset_id(97), 15).
distance_x(dataset_id(313), 25).
distance_x(dataset_id(261), 23).
distance_x(dataset_id(54), 12).
distance_x(dataset_id(391), 4).
distance_x(dataset_id(207), 20).
distance_x(dataset_id(248), 21).
distance_x(dataset_id(286), 24).
distance_x(dataset_id(306), 25).
distance_x(dataset_id(342), 26).
distance_x(dataset_id(483), 9).
distance_x(dataset_id(13), 1).
distance_x(dataset_id(363), 28).
distance_x(dataset_id(100), 15).
distance_x(dataset_id(107), 15).
distance_x(dataset_id(372), 28).
distance_x(dataset_id(304), 25).
distance_x(dataset_id(400), 4).
distance_x(dataset_id(475), 8).
distance_x(dataset_id(338), 26).
distance_x(dataset_id(356), 27).
distance_x(dataset_id(209), 20).
distance_x(dataset_id(220), 20).
distance_x(dataset_id(390), 3).
distance_x(dataset_id(312), 25).
distance_x(dataset_id(491), 9).
distance_x(dataset_id(116), 16).
distance_x(dataset_id(232), 21).
distance_x(dataset_id(223), 20).
distance_x(dataset_id(412), 5).
distance_x(dataset_id(236), 21).
distance_x(dataset_id(330), 26).
distance_x(dataset_id(430), 6).
distance_x(dataset_id(200), 2).
distance_x(dataset_id(308), 25).
distance_x(dataset_id(135), 16).
distance_x(dataset_id(120), 16).
distance_x(dataset_id(55), 12).
distance_x(dataset_id(444), 7).
distance_x(dataset_id(102), 15).
distance_x(dataset_id(186), 19).
distance_x(dataset_id(468), 8).
distance_x(dataset_id(162), 18).
distance_x(dataset_id(410), 4).
distance_x(dataset_id(246), 21).
distance_x(dataset_id(405), 4).
distance_x(dataset_id(41), 12).
distance_x(dataset_id(458), 8).
distance_x(dataset_id(151), 18).
distance_x(dataset_id(105), 15).
distance_x(dataset_id(153), 18).
distance_x(dataset_id(354), 27).
distance_x(dataset_id(237), 21).
distance_x(dataset_id(131), 16).
distance_x(dataset_id(277), 23).
distance_x(dataset_id(136), 17).
distance_x(dataset_id(239), 21).
distance_x(dataset_id(399), 4).
distance_x(dataset_id(437), 6).
distance_x(dataset_id(420), 5).
distance_x(dataset_id(167), 18).
distance_x(dataset_id(441), 7).
distance_x(dataset_id(177), 18).
distance_x(dataset_id(40), 12).
distance_x(dataset_id(263), 23).
distance_x(dataset_id(156), 18).
distance_x(dataset_id(6), 1).
distance_x(dataset_id(481), 9).
distance_x(dataset_id(150), 18).
distance_x(dataset_id(157), 18).
distance_x(dataset_id(401), 4).
distance_x(dataset_id(334), 26).
